generation,max_fitness,avg_fitness,std_fitness
0,0.92,0.8328571428571427,0.05969309261650338
1,0.79,0.7219047619047617,0.025376976370427122
2,0.77,0.7199999999999999,0.021380899352993973
3,0.81,0.7566666666666668,0.024559613253766932
4,0.74,0.6823809523809523,0.02388559276949417
5,0.72,0.671904761904762,0.01966845374101273
6,0.69,0.6695238095238096,0.012140522651411377
7,0.75,0.6866666666666665,0.02532330628630156
8,0.75,0.6752380952380953,0.02805081233337739
9,0.68,0.6438095238095238,0.01838119911011314
10,0.68,0.6333333333333331,0.023771398046378466
11,0.7,0.6238095238095237,0.03046874909151694
12,0.7,0.6385714285714285,0.020537008240807456
13,0.7,0.618095238095238,0.024420726485634453
14,0.65,0.6157142857142857,0.019897697538834472
15,0.64,0.61,0.017994708216848763
16,0.68,0.5738095238095241,0.028531718436086165
17,0.66,0.5923809523809526,0.031908315367144675
18,0.63,0.5980952380952381,0.021738499448596835
19,0.69,0.6276190476190474,0.026886846120939247
20,0.73,0.6580952380952384,0.025188630772263215
21,0.73,0.6761904761904762,0.020348438684972835
22,0.84,0.6966666666666667,0.04121180290175008
23,0.8,0.7276190476190476,0.031758727620063015
24,0.83,0.734761904761905,0.029214974571767565
25,0.79,0.7523809523809525,0.01849189317995011
26,0.82,0.779047619047619,0.016876233473018417
27,0.83,0.7842857142857143,0.018662778992633734
28,0.84,0.7957142857142856,0.01891621339622971
29,0.87,0.7980952380952379,0.02921497457176754
30,0.84,0.7871428571428568,0.018808016817268087
31,0.86,0.8052380952380951,0.01917812434819261
32,0.83,0.8057142857142858,0.012936264483053425
33,0.86,0.8061904761904761,0.018892223261787952
34,0.83,0.7928571428571426,0.02096320066957631
35,0.87,0.8109523809523812,0.017431433540688674
36,0.86,0.8080952380952382,0.018674925286788147
37,0.83,0.8014285714285717,0.014568627181693654
38,0.83,0.8042857142857145,0.014661718398419649
39,0.88,0.810952380952381,0.030691205798708588
40,0.83,0.8004761904761902,0.015267828135125115
41,0.88,0.7876190476190474,0.026530263385112596
42,0.84,0.7866666666666665,0.020548046676563257
43,0.84,0.7785714285714285,0.021221219004911612
44,0.85,0.7947619047619044,0.02238601766389171
45,0.81,0.7685714285714285,0.017261494247992264
46,0.83,0.7733333333333332,0.026064632730293347
47,0.81,0.7838095238095237,0.014630753805464032
48,0.8,0.7647619047619048,0.019668453741012764
49,0.88,0.7809523809523808,0.0308459709346698
50,0.81,0.7714285714285712,0.016983385238216214
51,0.88,0.7704761904761904,0.028195945415404693
52,0.84,0.7723809523809523,0.024862433299441173
53,0.85,0.7638095238095237,0.026272598522159477
54,0.81,0.7642857142857141,0.016204475740165303
55,0.8,0.7552380952380953,0.01789361355052948
56,0.82,0.7495238095238096,0.0198748921473421
57,0.79,0.7457142857142859,0.018916213396229738
58,0.78,0.7390476190476194,0.0226578614349911
59,0.82,0.7542857142857144,0.024989793835051295
60,0.82,0.7523809523809525,0.026886846120939244
61,0.77,0.7390476190476194,0.01659166799065177
62,0.79,0.7471428571428573,0.017766436291597756
63,0.8,0.7304761904761908,0.023396416183882395
64,0.79,0.7380952380952385,0.01707659150194393
65,0.75,0.7204761904761904,0.016754868653104
66,0.77,0.7266666666666669,0.017548119783512662
67,0.79,0.7266666666666669,0.020778499265972805
68,0.78,0.7204761904761907,0.016754868653104
69,0.78,0.724761904761905,0.01841817105315594
70,0.74,0.7166666666666667,0.010837911120705765
71,0.8,0.7119047619047616,0.02461494853965733
72,0.76,0.7233333333333337,0.014907119849998613
73,0.79,0.7290476190476195,0.01796948787058402
74,0.76,0.716190476190476,0.019142620230706474
75,0.77,0.7099999999999996,0.020701966780270645
76,0.77,0.7157142857142853,0.023211538298959906
77,0.77,0.7185714285714284,0.022946254863155754
78,0.74,0.7090476190476188,0.015088551921671306
79,0.74,0.7085714285714283,0.011664236870396097
80,0.76,0.7166666666666665,0.02416871912466578
81,0.77,0.7099999999999997,0.025819888974716126
82,0.75,0.7061904761904759,0.017313960916855105
83,0.72,0.7014285714285712,0.013196577581477156
84,0.74,0.7004761904761904,0.019142620230706436
85,0.76,0.707142857142857,0.023123448651769487
86,0.78,0.7057142857142855,0.02106032798809142
87,0.76,0.7028571428571426,0.027280353499814277
88,0.73,0.7057142857142854,0.015605685341118022
89,0.78,0.715238095238095,0.02611677943009924
90,0.78,0.706190476190476,0.02819594541540469
91,0.73,0.7057142857142855,0.019166296949998177
92,0.74,0.7133333333333333,0.015223207012519804
93,0.75,0.6995238095238093,0.019142620230706446
94,0.75,0.7119047619047618,0.021071092276035815
95,0.75,0.7076190476190474,0.01743143354068871
96,0.75,0.6976190476190475,0.019737506453393033
97,0.74,0.7023809523809522,0.016591667990651763
98,0.74,0.7038095238095237,0.017586843154875596
99,0.74,0.698095238095238,0.0184181710531559
100,0.75,0.7047619047619046,0.018928197061287424
101,0.75,0.7023809523809522,0.0150885519216713
102,0.75,0.6909523809523808,0.020680048333912803
103,0.72,0.6842857142857142,0.01293626448305342
104,0.75,0.6947619047619048,0.022597734319437447
105,0.74,0.6909523809523808,0.0206800483339128
106,0.73,0.6909523809523808,0.019494751895674945
107,0.75,0.6914285714285714,0.02210057406832815
108,0.74,0.6971428571428571,0.022497165354319438
109,0.73,0.6914285714285713,0.016983385238216166
110,0.75,0.6957142857142855,0.02321153829895987
111,0.74,0.6995238095238094,0.018381199110113107
112,0.76,0.7090476190476188,0.023885592769494195
113,0.75,0.7047619047619046,0.018157786633273918
114,0.74,0.7019047619047617,0.01892819706128741
115,0.75,0.6914285714285713,0.019829202679673325
116,0.73,0.6866666666666665,0.018344152651674467
117,0.73,0.7014285714285712,0.012065580437447562
118,0.73,0.6909523809523808,0.01874763779526619
119,0.76,0.6990476190476189,0.027238761230619205
120,0.75,0.6909523809523808,0.020448486241508444
121,0.72,0.6885714285714284,0.015518257844571705
122,0.74,0.6942857142857142,0.01989769753883443
123,0.73,0.6890476190476188,0.01630213597011777
124,0.75,0.6923809523809522,0.017969487870583986
125,0.73,0.6919047619047617,0.016218463205644164
126,0.73,0.6923809523809522,0.022018339088946435
127,0.73,0.6876190476190475,0.01600736791806817
128,0.73,0.6990476190476189,0.014110030847646709
129,0.73,0.7066666666666664,0.017274625854492416
130,0.73,0.6966666666666665,0.015223207012519765
131,0.73,0.6990476190476189,0.018999940326914266
132,0.75,0.7057142857142855,0.021060327988091404
133,0.76,0.7019047619047618,0.025749534923039552
134,0.75,0.7090476190476188,0.01949475189567497
135,0.73,0.6914285714285713,0.017804684853180843
136,0.77,0.6923809523809522,0.019737506453393037
137,0.73,0.6938095238095237,0.01889222326178795
138,0.75,0.6928571428571428,0.019794866372215714
139,0.75,0.7080952380952379,0.019178124348192657
140,0.76,0.6909523809523808,0.02265786143499107
141,0.75,0.6933333333333331,0.02189440749061454
142,0.73,0.697142857142857,0.017496355305594104
143,0.77,0.7161904761904759,0.022141577023928913
144,0.74,0.7066666666666664,0.01458418364867959
145,0.79,0.697142857142857,0.023531712572582544
146,0.74,0.6966666666666665,0.016426846010152686
