generation,fitness,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13
0,0.49,0.7981424042443157,0.8089308618600821,-0.6510821761802792,-0.6991380824166642,-0.2534110332928634,0.7979133414982031,0.3970433359130019,-0.022921159441287253,0.5517440236738864,-0.1589010285999728,-0.8721402132735052,-0.1870719176048592,-0.39752909817488025,0.8118471613606735
1,0.41,0.5566159341119137,0.15572354641128586,-0.45672031555160303,-0.16710309842794685,-0.3534426959023719,0.46385160120682367,-0.39790404818204783,0.0845914409399405,-0.4553166730104802,0.06320938465285501,-0.19756925795105026,0.9149772126100173,1.0,0.4642043696639263
2,0.57,0.33642185879074615,-0.3501129586127642,-0.5029453564928421,-0.3933872617688518,-0.2686155709235622,-0.3033225792085211,0.4371305028382493,-0.5862318877249753,-0.8078318068257611,-0.01663950484780306,-0.16196127397316248,0.6828461569316107,-0.6383047029678452,0.36260246574211413
3,0.68,0.13699536588553096,-0.25012736476483544,-0.42691629776636886,-0.4239416993109342,-0.5825651782092852,0.38204520235136596,-0.4601227162683438,-0.310479715661368,-0.5134697086889332,-0.1515439734885536,-0.31089313718479666,0.6443764121127786,-0.6125929638495171,0.4254126516726731
4,0.8,0.20423532430272773,-0.37918607292824025,-0.3137684474015523,-0.5463926649461355,-0.23481095740070154,-0.41722528135956666,0.4456983942888122,-0.49078545391598527,-1.0,-0.3334142573247463,0.11198472355710176,0.8644796744941143,-0.503259072643463,0.17887549348561044
5,0.76,-0.01863312037528314,-0.12562275680881277,-0.490677440118922,-0.3763805247317782,-0.11171180131543051,-0.4007451581507513,0.46100386681384115,-0.7567727069957225,-0.749019005628556,-0.09341990756791387,-0.28205273411623916,0.5327229730426437,-0.7361877856500194,0.2401189395919864
6,0.75,-0.002033988397827237,0.06992218919691867,-0.5390032262229172,-0.45773436891585784,-0.5315727271578392,0.2710990331657108,0.2168882440661374,-0.4771244246648855,-0.12257580920659698,-0.2725416194367868,-0.44602284312115914,0.6030622516237634,-0.6776971335722429,0.3838713563814418
7,0.72,-0.07886058399776343,-0.09177196615592523,0.07559670626344701,-0.3682044604273355,-0.7465492456252367,0.41046244764585216,0.05168510645923287,-0.06110077393714104,-0.4202506507700861,-0.1433547325555168,-0.43927824684132033,1.0,-0.8370956842829659,0.7485433358054513
8,0.67,-0.13666928120417127,-0.4487578157711437,-0.8248790882194298,-0.2050334271738981,-0.39197074112352936,-0.44304124249533633,0.5362943813842828,-0.9789575654293075,-0.5730175268864635,-0.11536617357327887,0.4453053402113256,0.6470503509320469,-1.0,0.4002009557629713
9,0.66,-0.07726974087407933,-0.22051355074056644,-0.21883211975215933,-0.08402645996197841,-0.19464846831180863,-0.31500183211228616,-0.05705573075922623,-0.373643654903753,-0.07273136153342222,-0.08355834974724503,0.16175800814691746,0.526935624380258,-0.9268343396068828,0.21544493810671728
10,0.65,-0.0006484086416997659,0.037869810939688005,-0.21926642260163703,-0.34680764417003584,-0.22588532336474182,-0.49232290793407096,-0.03956269432815046,-0.37019749007970576,-0.3374851026951025,-0.3747842343000327,0.1339259773413511,0.4141468941438585,-0.804515036248327,0.6330781311429614
11,0.67,-0.05936620993484855,-0.32945193433484216,-0.04268681495379323,-0.8974043852532132,-0.23941555689459554,-0.6359120434752857,0.4416416442449055,-0.5486972041298549,-0.26124273960835565,-0.44810642975802945,-0.021851361032477916,0.666297710592655,-0.9286500201021874,0.2996041644394422
12,0.62,-0.24254695817675553,-0.6205880931897464,-0.055445512791547164,-0.5162279626242763,-0.4582667927608232,-0.3852312810600988,0.6277954457128948,-0.7038996271715297,-1.0,0.13345524988780538,0.025995840232083695,0.6330529762973548,-0.9526256035807049,0.06231423309819211
13,0.62,-0.2249985059621261,-0.22245230650077058,-0.006072378612259219,-0.07921511346686305,-0.16854965806087505,-0.669599477486407,-0.39739831288066163,-0.3774920387366102,0.06765428668411022,0.16867295645505836,0.32769161563204435,0.6407526338485928,-0.313676392919933,0.4326609080608746
14,0.58,-0.2619467890037409,-0.6150297746622084,0.00781625409295289,-0.5346019232691381,-0.5844280092187343,-0.4384380110541811,0.39833649061886944,-0.7131119357638673,-1.0,-0.02388534625708771,0.021632940062380188,0.7041683574050155,-1.0,0.3477529743164095
15,0.62,-0.12485579526511072,-0.8087645083633603,-0.1630306112635968,-0.24505504035332754,-0.1193951684934387,-0.5676711245343233,0.8455299384394628,-0.8155589822662814,-0.7636772276712697,-0.1288268436128803,0.8577851649958337,0.5351516413452165,-0.6420625102419081,0.147554631737896
