generation,max_fitness,avg_fitness,std_fitness
0,0.94,0.8414285714285715,0.06770283206327306
1,0.83,0.7633333333333334,0.03060241716773264
2,0.84,0.7771428571428571,0.024522653694445205
3,0.75,0.697142857142857,0.017496355305594118
4,0.77,0.6661904761904764,0.03415318300388782
5,0.75,0.6880952380952381,0.02480765005263065
6,0.79,0.6961904761904761,0.03214197529654514
7,0.8,0.7266666666666668,0.027487370837451095
8,0.77,0.7185714285714287,0.014568627181693683
9,0.77,0.7419047619047621,0.014013275209106831
10,0.83,0.7590476190476191,0.02826823253267777
11,0.79,0.759047619047619,0.014443572274383917
12,0.83,0.7633333333333334,0.0269626431750325
13,0.81,0.7814285714285713,0.020537008240807467
14,0.82,0.7738095238095236,0.018120283419467097
15,0.82,0.7966666666666665,0.01321374945286819
16,0.81,0.7742857142857142,0.015907898179514362
17,0.81,0.7614285714285715,0.018331787195162073
18,0.78,0.7419047619047622,0.017625481450782635
19,0.77,0.725714285714286,0.01678191446352963
20,0.78,0.7209523809523808,0.018999940326914308
21,0.75,0.7128571428571427,0.014190156595953667
22,0.79,0.7314285714285718,0.01753519299002094
23,0.79,0.7114285714285712,0.026954231805876024
24,0.75,0.6990476190476189,0.018999940326914277
25,0.78,0.7295238095238097,0.0212639176778725
26,0.79,0.7314285714285718,0.020767583321291947
27,0.76,0.725714285714286,0.017340134720031566
28,0.78,0.7228571428571429,0.019794866372215756
29,0.77,0.7099999999999996,0.019518001458970678
30,0.73,0.7033333333333331,0.015223207012519797
31,0.74,0.6928571428571426,0.014846149779161783
32,0.79,0.7138095238095236,0.027856125337542233
33,0.83,0.7014285714285713,0.03602720060833852
34,0.77,0.7052380952380951,0.02480765005263067
35,0.74,0.6919047619047619,0.016509462688913987
36,0.79,0.7076190476190474,0.02368539069608742
37,0.74,0.697142857142857,0.018553104513122025
38,0.76,0.6919047619047618,0.02442072648563443
39,0.71,0.6857142857142856,0.012936264483053413
40,0.72,0.6928571428571426,0.010753895038701135
41,0.72,0.6742857142857143,0.013652639225553745
42,0.76,0.6766666666666667,0.022747754119040342
43,0.77,0.6847619047619047,0.02107109227603578
44,0.73,0.6761904761904761,0.01703670839999837
45,0.75,0.6866666666666665,0.02211083193570264
46,0.71,0.6823809523809523,0.013768411709334216
47,0.78,0.7004761904761904,0.030468749091516926
48,0.76,0.6799999999999999,0.02488066757640595
49,0.75,0.6833333333333333,0.026962643175032483
50,0.74,0.687142857142857,0.01803247259882044
51,0.72,0.6876190476190475,0.01630213597011777
52,0.74,0.6938095238095239,0.028698131758703525
53,0.76,0.6928571428571427,0.024327694808466273
54,0.76,0.706190476190476,0.02126391767787248
55,0.79,0.7395238095238097,0.022141577023928913
56,0.83,0.7619047619047619,0.024027572974367365
57,0.82,0.7695238095238094,0.019633836312465056
58,0.85,0.7861904761904761,0.028026550418213628
59,0.83,0.7890476190476188,0.01743143354068868
60,0.86,0.7957142857142854,0.022162050053752547
61,0.86,0.8161904761904764,0.01646820615789576
62,0.84,0.8142857142857147,0.011780301787478992
63,0.86,0.816666666666667,0.01781741612749493
64,0.84,0.814761904761905,0.017076591501943877
65,0.92,0.8280952380952383,0.026298478612350615
66,0.89,0.8419047619047617,0.023015325663989665
67,0.85,0.8180952380952384,0.01434906587935174
68,0.89,0.8252380952380955,0.02593380724607637
69,0.86,0.8138095238095241,0.015879363810031463
70,0.85,0.8057142857142858,0.020603150145508484
71,0.84,0.7990476190476189,0.016876233473018414
72,0.86,0.7942857142857142,0.0251796267931472
73,0.87,0.8057142857142858,0.020370713939245156
74,0.86,0.7923809523809521,0.02265786143499107
75,0.87,0.7852380952380952,0.027188766521181323
76,0.83,0.785238095238095,0.021956460730282866
77,0.82,0.7823809523809522,0.01770250504327725
78,0.8,0.7657142857142857,0.013652639225553775
79,0.8,0.7714285714285712,0.01489190073439229
80,0.83,0.7733333333333332,0.019354668031334836
81,0.82,0.7647619047619048,0.0210710922760358
82,0.8,0.7590476190476191,0.01924893612515024
83,0.82,0.7757142857142857,0.02060315014550852
84,0.79,0.758095238095238,0.013669238185149844
85,0.83,0.7719047619047618,0.021518330528942857
86,0.82,0.7733333333333332,0.02211083193570267
87,0.78,0.7566666666666667,0.013213749452868209
88,0.84,0.7642857142857141,0.025179626793147218
89,0.82,0.7552380952380954,0.023425474049997803
90,0.8,0.7504761904761906,0.01838119911011314
91,0.77,0.7376190476190478,0.01411003084764673
92,0.79,0.737619047619048,0.018232561637215868
93,0.78,0.7314285714285718,0.01753519299002094
94,0.76,0.7385714285714288,0.010367400503370124
95,0.78,0.7347619047619051,0.018674925286788185
96,0.78,0.7338095238095241,0.022567610687757707
97,0.77,0.7252380952380955,0.017625481450782632
98,0.76,0.7290476190476195,0.01305838971504962
99,0.77,0.7295238095238099,0.017313960916855102
100,0.77,0.725714285714286,0.018145294174531115
101,0.78,0.7366666666666669,0.017817416127494975
102,0.79,0.715238095238095,0.02574953492303959
103,0.79,0.7266666666666667,0.02377139804637847
104,0.75,0.7071428571428569,0.018553104513122063
105,0.75,0.6957142857142855,0.021507790077402295
106,0.73,0.6966666666666665,0.01808270242480714
107,0.72,0.6895238095238093,0.013619380615309583
108,0.71,0.6795238095238094,0.014301578493029684
109,0.7,0.6676190476190477,0.016007367918068185
110,0.72,0.6804761904761905,0.021486693662244687
111,0.76,0.6795238095238095,0.023999244130198365
112,0.78,0.666666666666667,0.031672931711077885
113,0.71,0.6600000000000004,0.02070196678027062
114,0.7,0.6623809523809525,0.01796948787058399
115,0.7,0.6614285714285716,0.021884048177287715
116,0.71,0.6519047619047621,0.02280748574252962
117,0.7,0.6357142857142856,0.01965692137195266
118,0.69,0.6257142857142856,0.02128523489393049
119,0.67,0.6204761904761904,0.01889222326178799
120,0.67,0.6142857142857143,0.02216205005375258
121,0.65,0.608095238095238,0.01650946268891403
122,0.66,0.6171428571428571,0.02096320066957634
123,0.65,0.5938095238095238,0.020581126461880313
124,0.67,0.5971428571428571,0.02452265369444523
125,0.67,0.5976190476190476,0.026168822217207805
126,0.65,0.589047619047619,0.023074364646829947
127,0.62,0.5814285714285715,0.017535192990020904
128,0.67,0.5800000000000003,0.026367367999823088
129,0.61,0.5576190476190475,0.016876233473018407
130,0.62,0.5795238095238098,0.022141577023928882
131,0.63,0.5747619047619049,0.02499886618744129
132,0.67,0.5700000000000003,0.026726124191242425
133,0.62,0.576666666666667,0.024752745558794306
134,0.64,0.5814285714285716,0.02455037858028616
135,0.63,0.5628571428571425,0.02509844562496081
136,0.61,0.5695238095238098,0.016176464525202855
137,0.63,0.5657142857142861,0.02172806580295204
138,0.61,0.5695238095238098,0.01646820615789576
139,0.61,0.5619047619047619,0.018928197061287393
140,0.62,0.5728571428571431,0.026029810226126545
141,0.63,0.5642857142857142,0.02498979383505126
142,0.65,0.575714285714286,0.023618279557404257
143,0.65,0.5904761904761905,0.02170718346674569
144,0.65,0.5738095238095241,0.023396416183882354
145,0.62,0.5804761904761906,0.01785555548500253
146,0.63,0.5928571428571429,0.020963200669576323
147,0.65,0.5919047619047619,0.018928197061287438
148,0.66,0.5976190476190476,0.025430533186321335
149,0.67,0.6195238095238095,0.019389783877621285
150,0.7,0.6114285714285713,0.032261685116103486
151,0.67,0.6338095238095236,0.014301578493029734
152,0.67,0.6295238095238093,0.019874892147342116
153,0.71,0.6504761904761909,0.02359906989212164
154,0.69,0.6523809523809527,0.01570706904997204
155,0.75,0.6633333333333334,0.024168719124665745
156,0.7,0.6633333333333334,0.01834415265167448
157,0.72,0.6814285714285714,0.016700645635000143
158,0.73,0.6766666666666667,0.023162640965743424
159,0.73,0.688095238095238,0.020381842437173968
160,0.72,0.6733333333333333,0.014584183648679552
161,0.73,0.6995238095238093,0.017586843154875593
162,0.76,0.6895238095238094,0.021263917677872467
163,0.72,0.6895238095238094,0.01587936381003146
164,0.75,0.689047619047619,0.023074364646829916
165,0.74,0.7047619047619046,0.01841817105315591
166,0.78,0.7180952380952381,0.02499886618744133
167,0.79,0.7128571428571426,0.02796985743921604
168,0.74,0.7047619047619046,0.016509462688914015
169,0.76,0.7152380952380951,0.018674925286788185
170,0.78,0.6995238095238094,0.0247802130119194
171,0.75,0.6985714285714285,0.019095178719774678
172,0.75,0.7019047619047617,0.021518330528942857
173,0.75,0.7057142857142855,0.021728065802952057
174,0.74,0.6966666666666664,0.01699673171197593
175,0.76,0.7076190476190474,0.02348348191607229
176,0.77,0.7147619047619044,0.019178124348192653
177,0.8,0.7185714285714285,0.029965967090575783
178,0.78,0.7233333333333333,0.025134558515041254
179,0.75,0.713333333333333,0.016714217880746916
180,0.78,0.7161904761904762,0.02319199173692558
181,0.75,0.7095238095238092,0.01703670839999841
182,0.78,0.7223809523809527,0.017156079556811272
183,0.77,0.7280952380952382,0.020146853144101144
184,0.76,0.7214285714285718,0.01670064563500019
185,0.76,0.7242857142857146,0.01788093652906534
186,0.77,0.7333333333333336,0.017548119783512662
187,0.76,0.7114285714285712,0.016700645635000184
188,0.78,0.7257142857142862,0.018145294174531115
189,0.77,0.7238095238095241,0.01838119911011314
190,0.76,0.7204761904761904,0.019142620230706474
191,0.75,0.7161904761904762,0.014301578493029734
192,0.79,0.7290476190476195,0.02327982202205777
193,0.8,0.7280952380952384,0.025188630772263246
194,0.78,0.7304761904761908,0.020581126461880313
195,0.77,0.7166666666666662,0.02377139804637847
196,0.74,0.7195238095238098,0.011741740958036156
197,0.81,0.7199999999999996,0.02976095236571382
198,0.77,0.7090476190476188,0.02044848624150848
199,0.76,0.7223809523809525,0.01949475189567499
200,0.8,0.7209523809523808,0.02428104530282281
