generation,fitness,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13
0,0.49,0.7981397798745167,0.6111724190107073,0.7742791740889123,0.49161618006196384,-0.6132979463471182,-0.6424707276257084,0.0855203770166435,0.7691219329455743,-0.9188637642930115,-0.8813091173875915,0.29084549944319993,0.5611937261058004,-0.26279979415874477,-0.007335491650051873
1,0.54,0.589281685255469,0.059534568163031674,0.1874872970743681,0.5365898621471079,0.8767389454895212,0.6971842180923609,0.6652667876352251,-0.292261757303369,-0.13937702939595412,-0.9184176694147383,-0.8827135659175529,0.23112571896282502,-0.8835826273724342,0.6693589557227667
2,0.73,0.6313762217342748,-0.13219460873841032,0.28369238489009546,0.6862751379481751,0.6508518724968123,0.8674718860841297,0.5324842265538577,0.006864562778033925,-0.37872105298703346,-1.0,-0.9651270176264871,0.4236175811234292,-1.0,0.7691354819391285
3,0.8,0.6864992576576332,0.22948605688613072,0.2831186457025815,0.6854017231424364,0.5589215643209248,0.7390531549783396,0.42633958832907515,-0.26252137771601286,-0.24996148437091248,-0.8198880146539105,-0.9901906812577386,0.4408265013265723,-0.964519359347177,0.8057943497833159
4,0.65,0.5143462531850413,-0.023707852515725394,0.3328789177667152,0.13555727580752236,0.4322871067673344,0.449423139650023,0.2745891025596806,-0.31292574552273983,-0.28872194504303444,-0.829630537015252,-0.9283407234264515,0.10125838526771652,-0.9729461857301143,0.8072840235898403
5,0.58,0.9437673156878591,0.07277726180778463,0.047351901151792414,0.31850432900973785,0.9142219759120913,0.5027794666748543,0.5718709862115375,-0.47614078152359907,-0.5065466937941857,-0.8411087040193261,-0.6338442321975367,0.1252074312398948,-1.0,0.8778466535057974
6,0.58,0.4977558369747885,0.26477538902406883,0.20094180588685107,0.2023644962324205,0.361346239458998,0.2663870464192494,0.2591151846345773,-0.2518633676085279,-0.40016852272346304,-0.6863091419346643,-1.0,0.19911165813423004,-1.0,0.588052187368963
7,0.58,0.7616698147015427,0.4538649663817756,-0.09680892436013419,0.39558573091583804,0.6019197630271207,0.2374511976205512,0.6649899252868682,-0.4707406863236525,-0.671608352706502,-0.6620056645671275,-1.0,0.2475707272092989,-0.9290215593302221,0.7579857151184778
8,0.45,0.5656298009832194,0.40441120413108006,0.18076349328067984,0.0959879480679578,0.3119037033162513,0.41066754613354756,0.3426883232560041,-0.3047775787886531,-0.3794746966114049,-0.7612164986974477,-1.0,0.351950313906697,-0.7904778775497477,0.6200084334856292
9,0.47,1.0,0.12846960905802213,0.17377540171021008,0.55933296610748,0.37975821462852444,0.4965165583174026,0.916326869962962,-0.2582318387584961,-0.5158132965353301,-1.0,-1.0,0.1044758251152139,-0.8871106490338929,0.8384487549661331
10,0.43,0.674444273264219,0.4039457663247681,0.5228820378179212,0.2753220219500565,0.43056754670644026,0.2544486612472978,0.7705089604296238,-0.4715340402081213,-0.4347718433181177,-0.9492805703931517,-1.0,-0.10880871690358575,-0.9966543663560967,0.5678979498521447
11,0.41,0.6565099972280303,0.2562880324682947,0.3979466108133462,-0.021638628889316794,0.25170392637638134,0.5376519003923866,0.2542143319460777,-0.3024190796882464,-0.316266178999143,-0.4797334853298032,-0.9195334913093404,0.46234628237695713,-0.8023799750199375,0.7783154228184798
12,0.39,0.32918765003304057,0.04068894193629203,0.3692077157617407,-0.25527044414031375,-0.08794511255858242,0.06259075627311937,0.15179437245688004,-0.6263399398822761,-0.4193579143915875,-0.7046938990279524,-1.0,0.2893576311866325,-0.5700933729098092,0.36885340928259597
13,0.4,0.43453036718820165,0.025052961537801732,0.12933716153383482,-0.2630505738229368,-0.06607798375620835,-0.022027377179805498,0.2673122327385673,-0.6292778244140754,-0.6301274045102727,-0.5723544524561682,-0.6770324911634064,0.23431495000484928,-0.791971667682557,0.5324808700628044
14,0.41,0.5287489008919877,0.4205876778451398,0.8294908441702562,-0.11797361088193736,-0.13265057852776424,0.38188208558174325,0.6057233931477123,-0.4339107471427927,-0.1733167055187746,-0.5821453332984567,-0.675845574057714,0.20677294096539262,-0.9927328191057609,0.34107636329747687
15,0.41,0.09235973389066934,-0.16333742999502998,0.1818353108507082,-0.4317181190910706,-0.520087624284348,-0.17815189940930498,0.392369286159198,-0.6899993665985987,-0.13680771671447203,-0.4113241298344602,-0.5163574060498745,0.06238037091280582,-0.9807070705209914,0.3084675346048494
16,0.44,0.5710980494371424,0.06738956928077693,0.5138234177354616,-0.1641066993970393,-0.016426255576366004,0.13371814284451905,0.46394041842473444,-0.8397177183417823,-0.2955838043692228,-0.7639259665863025,-0.08816384311810126,0.3023925225104034,-0.9301982971446674,0.28228381758429033
17,0.45,0.5181537487260447,0.1471119385170257,0.31300678617660777,-0.314127453674009,-0.3003964448806332,0.050185801973401875,0.36591205954158923,-0.4020838353004862,-0.18045404640319207,-0.9847378618396193,-0.35910674485314764,0.41255341008942903,-0.35118531554802623,0.8841691739898732
18,0.4,0.12788127032012497,0.037425868499682005,-0.07147360990799997,-0.12477214782143436,-0.025881712035683985,-0.7223305346046219,0.6004461844965678,-0.709496432376187,-0.9462177200540025,-0.45534973303401144,-0.620098569005608,0.19606787131680378,-0.6816987134051062,0.4304709988626022
19,0.48,0.2702501533198321,0.08406961786317291,0.477365709703353,-0.25805003107240776,-0.1831000197930516,0.21587718301683767,0.5542498160844729,-0.4905191714848735,-0.19133783996730847,-0.4115320420226492,0.062439517838388664,0.33726431540561763,-0.6333877173977713,0.3572675991861317
20,0.48,0.6890313031172863,0.37470823738093434,0.3322669036034928,-0.2624442082778898,-0.41909215255332327,0.22199054969993687,0.3020092431754796,-0.9528611500191552,-0.31141845489414854,-1.0,0.38174055052586203,0.5357638163165478,-0.23973380154227011,0.11990898364237348
