generation,fitness,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13
0,0.38,0.012474295676081049,-0.007941779554001549,-0.10954340200485801,-0.8593014070187068,-0.18879610343824194,-0.6563568985172281,-0.9467245236876285,0.7169592466756636,-0.9724166307679845,-0.013641790940088994,0.6335240712918317,0.11267590699431085,0.4523000567192961,0.9341368260706615
1,0.43,-0.1937594026016099,-0.6758323986769448,-0.19745343545032867,-0.6899067611178498,-0.3853770816164551,-0.3673305171369765,0.7136828089185443,0.3036688750829733,0.9099596238692149,0.7854660781968406,-0.20716683669544406,-0.8275116186242969,-0.9942743884892925,0.49617297173060754
2,0.48,1.0,0.00697416524234129,0.38910866957268664,-0.22483557526232337,-0.5495522193189556,-0.17621279151819716,-1.0,-0.7939796828600043,-0.1366561488371692,-0.9351687063908019,-0.6231699892530128,0.1528024766683482,-0.19461780942373288,-0.04485101401046193
3,0.63,0.8527761279312134,-0.29886061562500077,0.34661526018148353,-0.5121175355060501,-0.696366836019421,-0.37272359314052544,-0.5223423340167145,-0.9711038119759737,-0.44424316337701675,-0.7484256394329144,-0.730993674699855,-0.18190457978677538,-0.42895328175514236,0.6699234605300447
4,0.65,0.8867581175117979,-0.43974134130995585,0.2825668829237382,-0.5119361466399823,-0.6409819519319486,-0.43396807903276097,-0.42443585751779045,-0.8648179934899213,-0.43641365838835455,-0.5777382442024533,-0.7060796893639888,-0.294956289354853,-0.33270557354399877,0.773917300335255
5,0.73,0.7707230501915859,-0.4252934139759438,0.43801829726784974,-0.5221529873975489,-0.4469181243336637,-0.30823782461004384,-0.615054941404831,-0.7148956534913556,-0.32987155991445727,-0.8270911126444134,-0.7546295048954262,-0.16960585630069774,-0.6616056111106615,0.6142410052264811
6,0.67,0.8752410984096446,-0.15708862855123704,0.1855656115476349,-0.40923261624327145,-0.8485389598475644,-0.07161161435690144,-0.6511730026728818,-1.0,-0.5527376608325483,-0.9874378897429518,-0.7144511718853745,0.04542070136969,-0.32263350287889186,0.9781017117313175
7,0.67,0.8164922090750747,-0.2836170080006567,0.33613636014060083,-0.5153963943220305,-0.38786191841009926,-0.4647903885832396,-0.3630978010976762,-0.9131429454051031,-0.5234802551656806,-0.6901217115644269,-0.7726896895642549,0.34260590856393885,-0.159745750732273,0.6800921364444161
8,0.68,0.975322267916128,-0.3982172259846858,0.48598105256134794,-0.5414347682366987,-0.5479808019569914,-0.3595738275398054,-0.055373404910864704,-0.9828031178127897,-0.3765266360620553,-0.8561609530687024,-0.7726777054428985,0.005837102279725753,-0.5296414874727727,0.9158606771390783
9,0.62,0.8246125853868288,-0.5970158230943473,0.43940436424477974,-0.508526686049376,-0.687942901788483,-0.5888620523183085,-0.698929313128213,-0.9911871480930097,-0.19658033592258345,-0.9845644849539829,-0.25392475824784844,0.24763153017431766,-1.0,0.8339820114053582
10,0.59,1.0,-0.6301674109026536,0.454037743171968,-0.7363055438332289,-0.42990187349503495,-0.17990822664125328,-0.5927649030053748,-0.921781540889498,-0.39723416291251595,-1.0,-0.632606656222638,0.6695684247991228,-0.8296318125985004,0.8815644805189443
11,0.6,1.0,-0.42662675689742346,0.5201288126145229,-0.7340499252185223,-0.16225915889505366,-0.2528789742108542,-0.6656305681518562,-0.5687569966947282,-0.39765870103056955,-0.8787262946233675,-0.8900493225400071,0.8563856295824374,-0.5267590159618638,0.5264493233219785
12,0.55,0.7529829650900277,-0.4823481529739284,0.48657913341750036,-0.7367911058955027,-0.49371725345639533,-0.18413112845399304,-0.6871174179292069,-1.0,-0.44024046922114035,-0.946588430656936,-0.5670721153377534,0.7589474953547186,-1.0,1.0
13,0.59,1.0,-0.6445408136643018,0.11832685521852865,-0.20748848643110776,-0.07201451054002268,-0.25710386767492194,-0.21959405049052635,-0.5482362481023603,-0.5727391759226927,-0.2810971112748889,-0.5846289537605601,0.2752978601051921,0.0928555104998934,1.0
14,0.62,0.8686027768120981,-0.4402424276492683,0.22602654494257735,-0.8910909931240001,-0.7930190645046749,-0.6650202312742234,-0.40157620471026884,-0.7532192263424496,-0.024516871104599047,-0.7089278007007525,0.3318625320113324,0.9950953751128803,-0.463972411872832,0.7293360413319361
15,0.61,0.8322665804504186,-0.4460439410593967,0.21099064341770216,-0.9770178626983463,-0.8454116440902744,-0.6394466704474565,-0.3528545922854196,-0.737999417095325,-0.11256538637021593,-0.6112316980334226,0.47806262715665593,1.0,-0.2200086450405565,0.6638646989394646
16,0.53,0.9035583035143422,-0.660248114432825,0.10943799685474984,-0.9226861173098306,-0.6604031435377054,-0.3560658651119073,-0.5308696717250576,-0.9304546881159129,-0.3595121947237512,-0.8248782516186675,0.29249562115040645,0.844330601759445,-0.5023479402906253,0.6739344302940852
17,0.61,0.6664046948426215,-0.6525236006264251,-0.1309991928619568,-0.9612400436429764,-0.5748406100744653,-0.42320289947693657,-0.2531455333195873,-0.6998008516699593,-0.4353008697981984,-1.0,0.6142983300316492,0.7249620967234316,-0.5767666098821971,0.7800338104182385
18,0.58,0.6283515846378939,-0.728021212096966,0.19941422512106183,-0.7542072496268916,-0.437757934673476,-0.5013523296079738,-0.5303507438103837,-0.9860464578013162,-0.37151090235377976,-0.844079875858635,0.2608641944873617,0.6538433776317237,-0.3528332559750948,0.4078281164498032
19,0.61,0.8842800484830275,-0.8544565425552583,-0.09125063321577455,-0.9152755604902475,-0.5984336074130601,-0.24890354093527667,-0.5981983093265574,-0.8430380839413991,-0.46340499110446365,-0.9393728650121514,0.49406083884885843,0.8450542892331336,-0.3395877644633613,0.7299844274819194
