generation,fitness,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9
0,0.89,0.3094089084288554,0.20810706427975278,0.868869509093194,0.7059515304248973,0.5203847267429245,0.22448018610682363,0.22600005052513006,0.2741654173211816,0.7670989716162648,0.4376620198827572
1,0.87,0.3585650185190441,0.9222341421053255,0.9262731472156749,0.721906840414255,0.018183707665341105,0.053489234677957,0.5256464706486272,0.6635309900453007,0.17023820358028346,0.5637516164657437
2,0.9,0.9478306480753906,0.9788431476823908,0.20582711108183668,0.8739765537583449,0.3660331628316288,0.0,0.3054149366303366,0.46229518868272906,0.34855981388919194,1.0
3,0.92,0.6351546797670414,0.20902501861818717,0.3496287877501387,0.6189171454671297,0.24089684948441095,0.021821804940669546,0.13011194976263407,0.3920040903949715,0.735884467737356,1.0
4,0.85,0.6289778530499527,0.21609553931560488,0.4752862851652128,0.49898557947466865,0.22776253600921822,0.0,0.0,0.5172556244152263,0.7362294080155781,0.9860123705353278
5,0.85,0.019180290283106596,0.35367362583929846,0.5404978066715692,0.5132166287940452,0.2459119862782575,0.004581259661016076,0.0,0.5451118528811358,0.6636768119729324,0.8769106572986373
6,0.87,0.6368232865052178,0.3132937765939795,0.18670065197783353,0.24553884905233087,0.31374622625296195,0.0,0.11413844117556236,0.0,0.6614184215474641,1.0
7,0.85,0.55725159984306,0.2219869356251503,0.0,0.22092330038416272,0.2558200517748081,0.0,0.016549672027886958,0.0,0.7701553788054172,0.8762146359606893
8,0.88,0.2297941024531258,0.28166204356023267,0.15082177283865805,0.08131029610466416,0.35556794640335715,0.0,0.15764693292026394,0.24163442775099234,0.876895015448104,1.0
9,0.9,0.12537639433219888,0.44872917341386065,0.15103711634932937,0.0,0.18547547740466783,0.0,0.0029967676881062777,0.12259211621042632,0.6010473697018419,1.0
10,0.88,0.7970213733200543,0.477706225484365,0.17103016934884457,0.06083885481669642,0.17070561928971056,0.06828046584332356,0.030118969787786054,0.057585670924741095,0.6173542029352403,0.982379307528655
11,0.86,0.23594286479855522,0.25480694980928376,0.0,0.0,0.027631192103637195,0.0,0.18200452567995237,0.19371328803415191,0.9614322809680595,0.8615527487327223
12,0.88,0.09493179733520406,0.42741492156669686,0.046087762728918166,0.1376935375595045,0.1054992528489882,0.0,0.17304509630846013,0.05405246403060267,0.7174826862624792,0.8503659800904614
13,0.91,0.11964767337543733,0.27157876718354457,0.016935348230665757,0.0,0.06377498086748737,0.01783932159235518,0.0,0.2527080353485883,0.1863728794026145,0.9765126732753658
14,0.91,0.06735297997294862,0.0,0.21143594256574502,0.0,0.34285807723825046,0.0,0.035461787445767196,0.18773972404182174,0.35936409498756827,1.0
15,0.89,0.32819448109471194,0.3627556188330551,0.08641401972270848,0.0,0.1899201504137304,0.0,0.0,0.0,0.5717305468152802,1.0
16,0.9,0.0,0.0,0.0,0.0,0.08290262494559952,0.06109706858218834,0.09100632544651803,0.08887896969993436,0.39389279927807874,1.0
17,0.88,0.0,0.45105565101677375,0.07912532200834242,0.0,0.10932407780812149,0.0,0.1964937294868792,0.21418538027973427,0.7856124127077728,1.0
18,0.85,0.064887382842429,0.06005953327407715,0.41342538319350447,0.0,0.14972648781588116,0.10372504189620685,0.3095668025324921,0.024475313906528042,0.2030431130013292,1.0
19,0.85,0.0,0.0,0.17023044844565555,0.08520080778745956,0.37000730287028316,0.0,0.14174815706405078,0.47541057590127694,0.46595567886106104,0.95832497381818
20,0.85,0.17452924610570647,0.425165673671272,0.0,0.0,0.4259583496148675,0.0,0.03319078022194894,0.23322898957122137,0.42669693091325644,1.0
21,0.85,0.15191036473767125,0.4787924486761548,0.25217650096738414,0.0028155514324922134,0.023622341480798396,0.0,0.0,0.06348868260139269,0.10789604987108604,1.0
22,0.85,0.09534882932732078,0.2714704635430709,0.3435092717825556,0.028079067516581,0.0,0.0,0.11120243394468142,0.0,0.0,0.9415928568951839
23,0.88,0.38376703865386164,0.0,0.13583765936448555,0.034573464982348485,0.16854500161843938,0.14984625633180015,0.0,0.2948039416803012,0.15329758287277157,1.0
24,0.86,0.45497335489690344,0.0,0.14834236747804613,0.0,0.30537695227792355,0.0,0.0,0.28392515403156304,0.08331819695293624,1.0
25,0.88,0.31485578289607646,0.3559682824136099,0.0,0.0,0.2631851144730922,0.0,0.06272359334837453,0.17091113469271663,0.08403767727663657,0.926072815248068
26,0.82,0.36431250584172514,0.05175426949774804,0.12269081653864544,0.0,0.1843870152333534,0.10223522127003377,0.039629218628188516,0.4543565869849993,0.0,0.9889584017812111
27,0.81,0.6464374431975359,0.02087997561383356,0.0,0.025381498476840146,0.12273234878467658,0.0,0.0,0.6056464182354531,0.09100566732084502,1.0
28,0.82,0.07986940670746881,0.06352409738577877,0.0,0.029903374374557624,0.18349059515749414,0.0,0.207711877110683,0.10727917499163651,0.030404601780198687,1.0
29,0.8,0.0,0.17471515238539304,0.4279229527019359,0.001632694263429965,0.20681184501693528,0.0,0.0,0.022751535970098623,0.09589116510230891,1.0
30,0.84,0.5237924992131271,0.0010481136011156716,0.14494485191814885,0.0,0.20623958650329963,0.04942135866656104,0.11009951050104305,0.6059428810911809,0.0,1.0
31,0.8,0.1466492211291595,0.0,0.1811674830776057,0.004880578933358648,0.48605878028723515,0.294954378796561,0.0,0.3885962197149166,0.0030697915340838016,1.0
32,0.82,0.007485466184392747,0.0,0.3811164878052995,0.0588828156167617,0.3842549631453442,0.0,0.0,0.27414092588871697,0.09864293203826452,1.0
33,0.82,0.0,0.0049939691188890046,0.5352018945628924,0.0,0.3039261624237237,0.0,0.20434908044354666,0.028986077133176982,0.0028354066878799418,1.0
34,0.79,0.26358289994836676,0.12843827986902678,0.5179524226636393,0.03926758676641004,0.12790486052440528,0.0,0.03559953632905912,0.26410006183148144,0.013067265740224644,0.8789966396694439
35,0.82,0.19702029459041018,0.25739543718951075,0.6273871910974295,0.09610220200200231,0.10373053052693812,0.0,0.01663987686259593,0.12541307692133274,0.0,0.9466419638495658
36,0.77,0.40769555734953977,0.20517788537321754,0.7318378342383075,0.0,0.14061466649924553,0.10171181929920957,0.012551949817296203,0.018466157864869305,0.04489757071125471,0.9015627896865888
37,0.77,0.2797924509910715,0.20428457248985732,0.7811742269484565,0.0,0.11423056032033566,0.04384615916971619,0.03345178268599357,0.20489884639335498,0.0,0.8594934832069558
38,0.76,0.24526987763825528,0.12181471280413667,0.7368376594317604,0.0,0.06274629740072009,0.11583980726873379,0.0,0.13795278163544256,0.1729288323610559,0.9204575864069034
39,0.78,0.0,0.28588707935711927,0.6234508733393836,0.06642165204082973,0.2183398001802099,0.049380644447949706,0.10081446514692007,0.0,0.0,0.8635328386839783
40,0.75,0.05423909096851962,0.16446530748347715,0.9021548018411093,0.06437586636515144,0.0,0.09407603043303935,0.0,0.295782889013064,0.0,0.8941257107613286
41,0.82,0.0,0.2191765457353231,0.9186954920296085,0.0,0.35553769361510484,0.06746779901188645,0.060058589295316905,0.017457794886495112,0.0,0.9299704841101067
42,0.77,0.0,0.3794552956380256,0.8678118386166218,0.0,0.19134393483567036,0.2449865730206573,0.4559707316990854,0.19666258776363044,0.1828766736637645,0.9989951261092315
43,0.75,0.0,0.004000249332889935,0.9670793895788106,0.04225517998831655,0.14009927848439815,0.0,0.0,0.07918692804330751,0.0628904619078392,0.868500520736602
44,0.79,0.06642329464632862,0.0,1.0,0.12043663484563599,0.0,0.0,0.04978217099471047,0.2519549659438498,0.011061389568641887,0.6497410925117738
45,0.75,0.04644571362701368,0.4187555887603454,1.0,0.022211238756652416,0.14079651149771993,0.09111896116943433,0.15869978260302597,0.0,0.1702289474709554,0.4122105028271108
46,0.75,0.051633770042245945,0.18429780348476177,0.949279606307962,0.0141941915425789,0.1568510551859559,0.0,0.192586870465914,0.0,0.029839479465723573,0.7681147725017364
47,0.73,0.3023073147401174,0.3228663994532874,0.9945199762584485,0.07310772264011704,0.0,0.0,0.0873759110838175,0.22048370636787254,0.013480805136797268,0.5532237783126089
48,0.73,0.08164057876609496,0.34399952102573317,1.0,0.061421572628714685,0.22753829036194337,0.17428235148203086,0.22369471928347484,0.19906113728743985,0.08671324687187393,0.5894726864572105
49,0.78,0.2930893309676315,0.11892091126747732,1.0,0.025289545067985194,0.24915758017263484,0.3161241146866268,0.1477779254664767,0.2457042981968527,0.0,0.2754007576644031
50,0.74,0.0,0.503706827413226,0.9033957691249607,0.016558018742135708,0.07781499296277924,0.009963282617927359,0.08257558964888762,0.006018645649081139,0.0,0.5052126201863874
