generation,max_fitness,avg_fitness,std_fitness
0,0.49,0.17619047619047618,0.1134932844867165
1,0.74,0.43952380952380954,0.14394033785453614
2,0.6,0.4495238095238096,0.05122092117914231
3,0.56,0.4495238095238095,0.03773039578960059
4,0.5,0.45142857142857146,0.024159335036125374
5,0.49,0.4390476190476191,0.02428104530282279
6,0.51,0.4547619047619047,0.024807650052630678
7,0.47,0.44333333333333325,0.01727462585449244
8,0.48,0.4457142857142858,0.0181452941745311
9,0.51,0.4333333333333333,0.02316264096574345
10,0.51,0.4376190476190476,0.023685390696087414
11,0.48,0.42476190476190484,0.018418171053155928
12,0.45,0.4147619047619049,0.015620209016054019
13,0.5,0.44095238095238093,0.02598621647550906
14,0.54,0.4571428571428572,0.026928981934473704
15,0.56,0.4842857142857142,0.032007652146297264
16,0.75,0.5476190476190477,0.08076448782931187
17,0.78,0.6623809523809524,0.044175490069749024
18,0.83,0.7619047619047621,0.02905152198603742
19,0.83,0.7833333333333331,0.022325158418535322
20,0.91,0.8195238095238095,0.03330611133342039
21,0.88,0.8295238095238098,0.028026550418213617
22,0.91,0.850952380952381,0.024862433299441187
23,0.89,0.8395238095238095,0.020348438684972863
24,0.89,0.8538095238095236,0.017586843154875624
25,0.89,0.8471428571428573,0.021633936555429632
26,0.88,0.8533333333333333,0.010389249632986404
27,0.89,0.8614285714285714,0.013899542399358512
28,0.88,0.8528571428571425,0.016659862556700874
29,0.88,0.8428571428571426,0.014521857792358971
30,0.87,0.8309523809523809,0.014443572274383911
31,0.88,0.8157142857142862,0.022162050053752536
32,0.86,0.8176190476190479,0.017702505043277212
33,0.86,0.8076190476190478,0.021359677611434074
34,0.85,0.8,0.019999999999999987
35,0.81,0.7766666666666666,0.013213749452868209
36,0.82,0.7666666666666666,0.01959915774024446
37,0.82,0.765238095238095,0.01815778663327392
38,0.85,0.7542857142857144,0.028713930346059697
39,0.8,0.744761904761905,0.029539166512896835
40,0.77,0.7304761904761907,0.023599069892121672
41,0.77,0.7095238095238093,0.028531718436086182
42,0.77,0.7190476190476189,0.023685390696087428
43,0.77,0.7185714285714282,0.024935290403021067
44,0.77,0.6990476190476189,0.022867061340081842
45,0.74,0.6999999999999998,0.01927248223318861
46,0.76,0.6933333333333332,0.023970881806958493
47,0.74,0.6833333333333333,0.025881291888954622
48,0.72,0.6757142857142858,0.022162050053752547
49,0.73,0.6742857142857145,0.027528587491037374
50,0.74,0.6709523809523811,0.03160843195290682
51,0.78,0.649047619047619,0.03449013135663204
52,0.72,0.6480952380952382,0.02855555114393324
53,0.7,0.6395238095238094,0.02999622047242595
54,0.67,0.6123809523809524,0.018747637795266236
55,0.67,0.5961904761904762,0.022141577023928917
56,0.67,0.6057142857142858,0.028713930346059714
57,0.66,0.5880952380952381,0.025933807246076374
58,0.68,0.6076190476190476,0.030222155528804657
59,0.64,0.5847619047619049,0.02280748574252961
60,0.63,0.5752380952380955,0.024224947318051224
61,0.68,0.581904761904762,0.024998866187441317
62,0.62,0.5790476190476193,0.022018339088946435
63,0.63,0.5785714285714287,0.02455037858028616
64,0.7,0.5871428571428573,0.03354355479115489
65,0.63,0.5852380952380953,0.016795421036712756
66,0.64,0.5761904761904765,0.02126391767787247
67,0.63,0.5700000000000003,0.021821789023599217
68,0.64,0.5790476190476193,0.02244671190360508
69,0.62,0.5752380952380955,0.019178124348192615
70,0.63,0.5776190476190479,0.02368539069608739
71,0.6,0.5580952380952379,0.018928197061287393
72,0.65,0.5619047619047618,0.026116779430099202
73,0.66,0.5628571428571428,0.02566132111487138
74,0.63,0.5680952380952381,0.02683619581639116
75,0.62,0.5795238095238097,0.01938978387762125
76,0.6,0.5638095238095238,0.020113059125659853
77,0.6,0.558095238095238,0.021295885499997974
78,0.67,0.5747619047619051,0.03126218583270448
